      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
               1             50.     15.5728E-39             50.
               2             50.     131.147E-39             50.
               3             50.     208.781E-39             50.
               4             50.     264.693E-39             50.
               5             50.     95.4763E-39             50.
               6             50.     1.57853E-39             50.
               7             50.    -1.57876E-39             50.
               8         42.8312         3.74687         42.6670
               9         35.8342         4.70125         35.5245
              10         28.5751         4.53949         28.2122
              11         20.3754         3.06818         20.1430
              12         11.0892        -11.0784     488.880E-03
              13         7.65325        -6.87822         3.35595
              14         11.0809    -477.920E-03         11.0705
              15         20.3775        -20.1449        -3.07029
              16         28.5762        -28.2131        -4.54080
              17         35.8349        -35.5250        -4.70255
              18         42.8313        -42.6672        -3.74573
              19             50.            -50.     1.57888E-39
              20             50.            -50.    -95.1184E-39
              21             50.            -50.    -93.3789E-39
              22             50.            -50.    -37.7881E-39
              23             50.            -50.     264.529E-39
              24             50.            -50.     95.4387E-39
              25             50.            -50.    -1.57879E-39
              26         28.5754        -28.2124         4.54003
              27         35.8344        -35.5247         4.70135
              28         42.8313        -42.6671         3.74690
              29         20.3761        -20.1438         3.06812
              30         11.0893        -11.0786    -485.516E-03
              31         7.65197        -6.87841        -3.35262
              32         11.0828    -480.011E-03        -11.0724
              33         20.3776         3.06940        -20.1451
              34         42.8307         3.74540        -42.6666
              35         35.8344         4.70416        -35.5243
              36         28.5747         4.53849        -28.2119
              37             50.    -1.57853E-39            -50.
              38             50.     94.8224E-39            -50.
              39             50.     91.7018E-39            -50.
              40             50.     37.8409E-39            -50.
              41             50.    -264.693E-39            -50.
              42             50.    -95.4763E-39            -50.
              43             50.     1.57876E-39            -50.
              44         42.8312        -3.74688        -42.6670
              45         35.8343        -4.70125        -35.5245
              46         28.5751        -4.53950        -28.2122
              47         20.3754        -3.06820        -20.1431
              48         11.0884         11.0777    -488.074E-03
              49         7.65433         6.87907        -3.35667
              50         11.0812     478.000E-03        -11.0709
              51         20.3776         20.1449         3.07053
              52         28.5762         28.2131         4.54082
              53         35.8349         35.5250         4.70255
