 
                  X                N: 464            Total force     

                0.                 0.                -0.         
               50.E-03             2.5               13.4953     
              100.E-03             5.                25.4043     
              150.E-03             7.5               36.0706     
              200.E-03            10.                45.7459     
              250.E-03            12.5               54.6219     
              300.E-03            15.                62.8449     
              350.E-03            17.5               70.528      
              400.E-03            20.                77.7599     
              450.E-03            22.5               84.6108     
              500.E-03            25.                91.137      
              550.E-03            27.5               97.3841     
              600.E-03            30.               103.39       
              650.E-03            32.5              109.184      
              700.E-03            35.               114.794      
              750.E-03            37.5              120.241      
              800.E-03            40.               125.544      
              850.E-03            42.5              130.718      
              900.E-03            45.               135.777      
              950.E-03            47.5              140.734      
                1.                50.               145.599    
